sentiment,confidence,sentiment_score
neutral,0.9301624894142151,0
negative,0.5798751711845398,-1
negative,0.9713099002838135,-1
positive,0.9406729340553284,1
positive,0.9440485835075378,1
positive,0.9551914930343628,1
positive,0.9192174077033997,1
negative,0.9384660124778748,-1
neutral,0.9278749227523804,0
negative,0.8759820461273193,-1
neutral,0.7119724750518799,0
positive,0.8683900833129883,1
positive,0.9526112675666809,1
neutral,0.913001537322998,0
negative,0.37973499298095703,-1
negative,0.9677589535713196,-1
positive,0.9054509401321411,1
positive,0.9186605215072632,1
neutral,0.6894854307174683,0
negative,0.5105305314064026,-1
negative,0.8464207649230957,-1
positive,0.9523143768310547,1
neutral,0.9239278435707092,0
neutral,0.6688041687011719,0
positive,0.8898226618766785,1
neutral,0.7554156184196472,0
neutral,0.9166215658187866,0
negative,0.974643886089325,-1
neutral,0.5739536881446838,0
neutral,0.4984009265899658,0
positive,0.855536162853241,1
positive,0.4994249939918518,1
positive,0.8597789406776428,1
negative,0.665225625038147,-1
negative,0.9713886976242065,-1
neutral,0.93276047706604,0
positive,0.9558607339859009,1
negative,0.6738178730010986,-1
neutral,0.9141643643379211,0
positive,0.8197507858276367,1
positive,0.5688737034797668,1
positive,0.8219443559646606,1
neutral,0.8876467347145081,0
positive,0.8961724638938904,1
positive,0.9444490671157837,1
negative,0.9146414995193481,-1
positive,0.9277501106262207,1
neutral,0.9228007793426514,0
neutral,0.9173292517662048,0
negative,0.6735064387321472,-1
positive,0.8620650172233582,1
negative,0.9527847170829773,-1
positive,0.7731175422668457,1
negative,0.9581819772720337,-1
neutral,0.8745364546775818,0
negative,0.5228656530380249,-1
positive,0.8407748341560364,1
positive,0.8911176323890686,1
neutral,0.8325237035751343,0
negative,0.9757661819458008,-1
negative,0.9622621536254883,-1
negative,0.9716606736183167,-1
positive,0.9511548280715942,1
positive,0.900936484336853,1
negative,0.9746435880661011,-1
neutral,0.8868222832679749,0
negative,0.9745565056800842,-1
negative,0.9760797619819641,-1
neutral,0.735309362411499,0
neutral,0.7257015109062195,0
positive,0.8684485554695129,1
neutral,0.8616300821304321,0
negative,0.9574787020683289,-1
neutral,0.6511552929878235,0
neutral,0.9543605446815491,0
neutral,0.9382674098014832,0
positive,0.7846169471740723,1
negative,0.9590508937835693,-1
negative,0.8327232003211975,-1
neutral,0.5832112431526184,0
negative,0.9660515189170837,-1
positive,0.786491870880127,1
negative,0.9574623107910156,-1
neutral,0.9138815999031067,0
neutral,0.8393530249595642,0
negative,0.9743166565895081,-1
positive,0.9383832812309265,1
neutral,0.9381447434425354,0
neutral,0.8244228363037109,0
negative,0.5659471750259399,-1
negative,0.9316726326942444,-1
neutral,0.9417818188667297,0
positive,0.614076554775238,1
neutral,0.8457581400871277,0
neutral,0.8996610641479492,0
positive,0.9480307102203369,1
negative,0.5982866287231445,-1
negative,0.9612023234367371,-1
positive,0.8961462378501892,1
negative,0.9463267922401428,-1
neutral,0.8964966535568237,0
negative,0.5478678345680237,-1
neutral,0.9051558375358582,0
negative,0.9483413100242615,-1
positive,0.9487455487251282,1
negative,0.946817934513092,-1
neutral,0.91122967004776,0
neutral,0.49960026144981384,0
neutral,0.8160516619682312,0
neutral,0.8458500504493713,0
neutral,0.9252750873565674,0
positive,0.8231397271156311,1
neutral,0.7411394715309143,0
positive,0.900202751159668,1
positive,0.9486251473426819,1
negative,0.9388448596000671,-1
neutral,0.7626727819442749,0
neutral,0.8897370100021362,0
negative,0.8999174237251282,-1
positive,0.5232421159744263,1
neutral,0.7534421682357788,0
neutral,0.7539352178573608,0
positive,0.9449827671051025,1
neutral,0.767858624458313,0
positive,0.9201527237892151,1
negative,0.864593505859375,-1
neutral,0.6748622059822083,0
neutral,0.8437978625297546,0
negative,0.9558037519454956,-1
positive,0.8485836386680603,1
positive,0.8376517295837402,1
neutral,0.9121955633163452,0
negative,0.8794777989387512,-1
positive,0.9498307704925537,1
negative,0.8391175866127014,-1
negative,0.9741777777671814,-1
neutral,0.49324390292167664,0
negative,0.7330119013786316,-1
neutral,0.626827597618103,0
neutral,0.7823328971862793,0
neutral,0.7806786894798279,0
negative,0.8422987461090088,-1
neutral,0.5572016835212708,0
neutral,0.7044201493263245,0
neutral,0.9188669919967651,0
neutral,0.9161122441291809,0
neutral,0.7053507566452026,0
positive,0.8653447031974792,1
negative,0.8609508275985718,-1
positive,0.9367838501930237,1
neutral,0.9163859486579895,0
neutral,0.7402388453483582,0
negative,0.6681615710258484,-1
neutral,0.8750743269920349,0
negative,0.9655267000198364,-1
negative,0.9502900838851929,-1
neutral,0.8803229331970215,0
neutral,0.8690381646156311,0
neutral,0.8413606286048889,0
neutral,0.8970034718513489,0
negative,0.8833379149436951,-1
neutral,0.8760445713996887,0
neutral,0.898427426815033,0
neutral,0.747098982334137,0
neutral,0.9481555223464966,0
negative,0.4708651602268219,-1
negative,0.9745177626609802,-1
negative,0.9500702023506165,-1
positive,0.811659574508667,1
neutral,0.8186613321304321,0
neutral,0.7570716738700867,0
neutral,0.7552241086959839,0
positive,0.8918509483337402,1
neutral,0.8271400332450867,0
negative,0.9580926299095154,-1
positive,0.6584115028381348,1
negative,0.9148449897766113,-1
positive,0.7742427587509155,1
neutral,0.9106107354164124,0
neutral,0.8560113906860352,0
positive,0.7679027318954468,1
neutral,0.9408425092697144,0
negative,0.8595878481864929,-1
neutral,0.798378586769104,0
neutral,0.9358701109886169,0
neutral,0.9370808601379395,0
negative,0.964084267616272,-1
positive,0.9373490214347839,1
neutral,0.9252026677131653,0
positive,0.954411506652832,1
neutral,0.8729594945907593,0
neutral,0.8594450950622559,0
neutral,0.8436977863311768,0
negative,0.9325109124183655,-1
negative,0.8760640025138855,-1
negative,0.9739728569984436,-1
positive,0.909248948097229,1
positive,0.6898545026779175,1
negative,0.7441228628158569,-1
neutral,0.7765085697174072,0
neutral,0.724457859992981,0
neutral,0.9321550726890564,0
neutral,0.8808149099349976,0
negative,0.4792146384716034,-1
negative,0.6113954782485962,-1
neutral,0.9311816096305847,0
neutral,0.9247256517410278,0
neutral,0.9217763543128967,0
negative,0.7949704527854919,-1
neutral,0.8163619637489319,0
neutral,0.7940901517868042,0
negative,0.9118500351905823,-1
neutral,0.949737548828125,0
negative,0.8670854568481445,-1
positive,0.9270037412643433,1
neutral,0.94268798828125,0
neutral,0.9487085342407227,0
positive,0.8055869340896606,1
neutral,0.8692789673805237,0
neutral,0.8251283764839172,0
neutral,0.8436495065689087,0
neutral,0.8892068862915039,0
neutral,0.9422633647918701,0
positive,0.5643033981323242,1
positive,0.8239482641220093,1
neutral,0.9275833964347839,0
neutral,0.8225873708724976,0
neutral,0.9479551911354065,0
neutral,0.8298349380493164,0
neutral,0.9309558868408203,0
positive,0.5904714465141296,1
neutral,0.9323499798774719,0
negative,0.9342370629310608,-1
neutral,0.6243900656700134,0
positive,0.8634312748908997,1
neutral,0.6109477281570435,0
positive,0.6183469295501709,1
neutral,0.9264800548553467,0
negative,0.9587306976318359,-1
positive,0.899155855178833,1
neutral,0.8219360113143921,0
negative,0.6035422682762146,-1
neutral,0.7794128060340881,0
neutral,0.7768368721008301,0
neutral,0.5196207165718079,0
neutral,0.6802330613136292,0
neutral,0.48391228914260864,0
neutral,0.6083523631095886,0
neutral,0.6314132809638977,0
positive,0.9438091516494751,1
negative,0.36973074078559875,-1
negative,0.9299465417861938,-1
neutral,0.8394071459770203,0
neutral,0.6617061495780945,0
neutral,0.8486340045928955,0
negative,0.8993940949440002,-1
negative,0.9342094659805298,-1
positive,0.49909159541130066,1
negative,0.9568445086479187,-1
neutral,0.8844699263572693,0
negative,0.9599301815032959,-1
neutral,0.6375197768211365,0
negative,0.9671202898025513,-1
neutral,0.8017045855522156,0
negative,0.9158092737197876,-1
negative,0.9317789077758789,-1
negative,0.9243120551109314,-1
neutral,0.8674230575561523,0
neutral,0.7507562637329102,0
neutral,0.9331106543540955,0
neutral,0.8227812647819519,0
negative,0.7455641627311707,-1
neutral,0.8917509913444519,0
negative,0.9485368728637695,-1
positive,0.5554752945899963,1
positive,0.8565300703048706,1
negative,0.9647111296653748,-1
neutral,0.6969086527824402,0
neutral,0.6759522557258606,0
negative,0.9630229473114014,-1
neutral,0.9071510434150696,0
neutral,0.8166164755821228,0
neutral,0.804137647151947,0
neutral,0.498391330242157,0
positive,0.9205604195594788,1
neutral,0.8806782364845276,0
positive,0.575692892074585,1
neutral,0.8782175779342651,0
neutral,0.9293996691703796,0
neutral,0.9348744750022888,0
positive,0.5301574468612671,1
neutral,0.9104896783828735,0
neutral,0.8709814548492432,0
neutral,0.942653477191925,0
negative,0.9059771299362183,-1
negative,0.9538621306419373,-1
negative,0.9551213979721069,-1
neutral,0.6709142923355103,0
positive,0.8851823806762695,1
neutral,0.8959166407585144,0
negative,0.9443625211715698,-1
neutral,0.9519556164741516,0
neutral,0.788770854473114,0
positive,0.949637234210968,1
neutral,0.5625609755516052,0
positive,0.5553804039955139,1
neutral,0.9115399718284607,0
positive,0.9489681720733643,1
neutral,0.9236243963241577,0
positive,0.9428570866584778,1
negative,0.7775329947471619,-1
negative,0.5810311436653137,-1
negative,0.9644392728805542,-1
positive,0.9373971819877625,1
negative,0.9578205943107605,-1
positive,0.9570484161376953,1
neutral,0.6463208794593811,0
neutral,0.798075258731842,0
neutral,0.7391757965087891,0
neutral,0.8756396770477295,0
neutral,0.5499421954154968,0
neutral,0.946398138999939,0
neutral,0.9338452816009521,0
neutral,0.936231791973114,0
neutral,0.8570197820663452,0
neutral,0.6556447148323059,0
negative,0.6345387101173401,-1
neutral,0.5137356519699097,0
negative,0.966582715511322,-1
neutral,0.7893841862678528,0
positive,0.8941980600357056,1
negative,0.9739224314689636,-1
neutral,0.8980191349983215,0
negative,0.9262076616287231,-1
neutral,0.9353748559951782,0
negative,0.5268946886062622,-1
neutral,0.5976050496101379,0
negative,0.964814305305481,-1
neutral,0.7208399772644043,0
neutral,0.48651373386383057,0
neutral,0.8996685743331909,0
negative,0.9670990109443665,-1
neutral,0.9006766676902771,0
negative,0.5331545472145081,-1
positive,0.44423359632492065,1
positive,0.9490984678268433,1
neutral,0.39673683047294617,0
positive,0.8724191188812256,1
neutral,0.8377059102058411,0
neutral,0.889471173286438,0
neutral,0.6804786324501038,0
neutral,0.9551945328712463,0
neutral,0.9224354028701782,0
positive,0.8132620453834534,1
negative,0.7059248089790344,-1
positive,0.6346204280853271,1
neutral,0.7683179974555969,0
neutral,0.8554937243461609,0
negative,0.9177166819572449,-1
negative,0.8550998568534851,-1
negative,0.929453432559967,-1
neutral,0.8322166204452515,0
negative,0.4520723223686218,-1
neutral,0.5087395906448364,0
neutral,0.8538058400154114,0
positive,0.9562502503395081,1
neutral,0.8856284618377686,0
neutral,0.6835224628448486,0
neutral,0.8778188228607178,0
positive,0.6345492005348206,1
positive,0.8338751196861267,1
neutral,0.527518093585968,0
negative,0.7813497185707092,-1
positive,0.9513886570930481,1
negative,0.9727440476417542,-1
neutral,0.5066150426864624,0
positive,0.7743282318115234,1
negative,0.9235889315605164,-1
negative,0.7752478122711182,-1
neutral,0.9399896860122681,0
neutral,0.7987093329429626,0
neutral,0.557994544506073,0
negative,0.5503173470497131,-1
negative,0.9714794158935547,-1
neutral,0.6669118404388428,0
negative,0.9750031232833862,-1
negative,0.9737759828567505,-1
neutral,0.9445371031761169,0
neutral,0.6098957657814026,0
negative,0.8221870064735413,-1
positive,0.9396063089370728,1
negative,0.969792366027832,-1
positive,0.9574759006500244,1
negative,0.8730997443199158,-1
neutral,0.6876934766769409,0
negative,0.9731932878494263,-1
neutral,0.9385688900947571,0
positive,0.8513822555541992,1
neutral,0.9516943693161011,0
neutral,0.8816712498664856,0
positive,0.6191950440406799,1
neutral,0.76875239610672,0
positive,0.4595204293727875,1
negative,0.920141875743866,-1
neutral,0.9339640140533447,0
neutral,0.9188406467437744,0
negative,0.9298990368843079,-1
negative,0.9453921318054199,-1
neutral,0.785050094127655,0
neutral,0.8614240884780884,0
neutral,0.6022360920906067,0
neutral,0.8133562207221985,0
positive,0.6761826276779175,1
negative,0.632325291633606,-1
neutral,0.9229716658592224,0
neutral,0.6753436326980591,0
neutral,0.5288990139961243,0
negative,0.9670289754867554,-1
neutral,0.905593752861023,0
negative,0.957942545413971,-1
negative,0.8795173764228821,-1
negative,0.9722254276275635,-1
neutral,0.4893188178539276,0
negative,0.6666275858879089,-1
neutral,0.936255931854248,0
neutral,0.9421688914299011,0
negative,0.8746140599250793,-1
negative,0.9740515351295471,-1
positive,0.954679548740387,1
neutral,0.7175456285476685,0
positive,0.7115234732627869,1
neutral,0.9244649410247803,0
negative,0.9593921303749084,-1
neutral,0.8660098910331726,0
negative,0.8005285859107971,-1
negative,0.5497546792030334,-1
neutral,0.9200422763824463,0
neutral,0.5508010983467102,0
negative,0.9673841595649719,-1
negative,0.520983099937439,-1
neutral,0.460906445980072,0
positive,0.7602372765541077,1
negative,0.9733985066413879,-1
negative,0.9391160607337952,-1
negative,0.7275720834732056,-1
negative,0.9705471396446228,-1
neutral,0.9112271070480347,0
neutral,0.6622944474220276,0
neutral,0.937064528465271,0
negative,0.9660862684249878,-1
neutral,0.8087581992149353,0
neutral,0.8861926794052124,0
neutral,0.6371327042579651,0
negative,0.515278697013855,-1
neutral,0.7349778413772583,0
negative,0.8220657706260681,-1
positive,0.8556810021400452,1
positive,0.4476800858974457,1
positive,0.9340130090713501,1
neutral,0.9159072637557983,0
negative,0.9539448022842407,-1
neutral,0.7460770606994629,0
positive,0.8161312937736511,1
positive,0.7693275809288025,1
negative,0.852403461933136,-1
neutral,0.9066795110702515,0
neutral,0.7857944369316101,0
negative,0.9502477049827576,-1
negative,0.8668863773345947,-1
neutral,0.6062895059585571,0
neutral,0.9469346404075623,0
positive,0.8327197432518005,1
positive,0.8057708740234375,1
negative,0.5609562397003174,-1
negative,0.9758293628692627,-1
positive,0.5047562718391418,1
positive,0.8794211149215698,1
neutral,0.7550089955329895,0
negative,0.9730455279350281,-1
neutral,0.6928314566612244,0
positive,0.8250415325164795,1
positive,0.906173050403595,1
positive,0.878742516040802,1
neutral,0.531252920627594,0
positive,0.7450599670410156,1
negative,0.6975815892219543,-1
neutral,0.6769729256629944,0
neutral,0.9305813312530518,0
positive,0.9455596208572388,1
neutral,0.867385745048523,0
negative,0.6444502472877502,-1
neutral,0.5648403763771057,0
neutral,0.8842252492904663,0
neutral,0.8913204669952393,0
positive,0.9297377467155457,1
neutral,0.5976323485374451,0
positive,0.9051536917686462,1
positive,0.5722519159317017,1
neutral,0.6645022034645081,0
negative,0.6941602826118469,-1
negative,0.7888011336326599,-1
neutral,0.9356417059898376,0
negative,0.9608078002929688,-1
neutral,0.6636173129081726,0
neutral,0.9008049368858337,0
positive,0.9520783424377441,1
neutral,0.906908392906189,0
negative,0.6440111398696899,-1
neutral,0.8744244575500488,0
neutral,0.9016578197479248,0
positive,0.7705023884773254,1
neutral,0.8181948065757751,0
negative,0.9654251337051392,-1
positive,0.8801459670066833,1
positive,0.8431586027145386,1
negative,0.67236328125,-1
neutral,0.46885818243026733,0
positive,0.7707205414772034,1
neutral,0.9361319541931152,0
negative,0.8932294249534607,-1
negative,0.96161949634552,-1
neutral,0.7776334285736084,0
neutral,0.5445834398269653,0
neutral,0.9108604788780212,0
negative,0.8589934706687927,-1
neutral,0.9126356244087219,0
negative,0.8854823112487793,-1
positive,0.7635812759399414,1
neutral,0.8392494320869446,0
neutral,0.8335667252540588,0
positive,0.7607377767562866,1
positive,0.9080849289894104,1
positive,0.7991212010383606,1
neutral,0.9297559857368469,0
negative,0.9387693405151367,-1
positive,0.7307919263839722,1
neutral,0.6812428832054138,0
neutral,0.8259474635124207,0
negative,0.9379791021347046,-1
neutral,0.8592938780784607,0
negative,0.5456262230873108,-1
positive,0.8528160452842712,1
neutral,0.78510981798172,0
positive,0.7996818423271179,1
neutral,0.8961758017539978,0
neutral,0.8403046131134033,0
neutral,0.9354615211486816,0
neutral,0.850330114364624,0
positive,0.878174364566803,1
negative,0.48465487360954285,-1
positive,0.5499032735824585,1
neutral,0.8813316226005554,0
neutral,0.917299747467041,0
positive,0.8519865274429321,1
neutral,0.7912877798080444,0
neutral,0.9164473414421082,0
neutral,0.916824221611023,0
positive,0.8852571249008179,1
neutral,0.9132000207901001,0
negative,0.97071373462677,-1
positive,0.9442389011383057,1
neutral,0.8536145687103271,0
neutral,0.920400857925415,0
neutral,0.796484649181366,0
neutral,0.7748010158538818,0
negative,0.5377785563468933,-1
neutral,0.6222336888313293,0
negative,0.974157989025116,-1
neutral,0.9132341146469116,0
neutral,0.9108806848526001,0
neutral,0.8934181928634644,0
neutral,0.8428491353988647,0
neutral,0.9285374879837036,0
negative,0.949264407157898,-1
positive,0.6828194856643677,1
positive,0.5627713799476624,1
neutral,0.9297451376914978,0
neutral,0.8617005348205566,0
neutral,0.7472874522209167,0
positive,0.8921841382980347,1
neutral,0.8516449928283691,0
positive,0.8854799270629883,1
neutral,0.46224766969680786,0
neutral,0.9095100164413452,0
positive,0.9454610347747803,1
neutral,0.9236876368522644,0
neutral,0.9378930330276489,0
positive,0.363796204328537,1
neutral,0.8126963376998901,0
positive,0.9321534037590027,1
positive,0.8823568224906921,1
positive,0.5298300981521606,1
negative,0.9405888915061951,-1
positive,0.7311123013496399,1
positive,0.9261178374290466,1
neutral,0.8681793808937073,0
neutral,0.9280601143836975,0
neutral,0.9041910171508789,0
neutral,0.9268613457679749,0
neutral,0.9163208603858948,0
negative,0.7890006303787231,-1
neutral,0.8470476865768433,0
positive,0.8378635048866272,1
positive,0.9535408616065979,1
positive,0.7169492840766907,1
positive,0.5773515701293945,1
positive,0.6676087379455566,1
negative,0.8691422343254089,-1
negative,0.5143352150917053,-1
neutral,0.8814982771873474,0
neutral,0.5734653472900391,0
neutral,0.9315041899681091,0
neutral,0.9198344945907593,0
negative,0.6812092661857605,-1
neutral,0.8705037832260132,0
positive,0.6339713931083679,1
neutral,0.9429634809494019,0
neutral,0.8418004512786865,0
neutral,0.9201405644416809,0
neutral,0.8308703303337097,0
positive,0.8055758476257324,1
positive,0.5878813862800598,1
positive,0.6399734020233154,1
neutral,0.8475094437599182,0
neutral,0.8385695815086365,0
negative,0.8799483776092529,-1
positive,0.7937985062599182,1
neutral,0.5945540070533752,0
negative,0.7812528610229492,-1
negative,0.9427675604820251,-1
positive,0.9268196821212769,1
negative,0.4584280848503113,-1
positive,0.9234783053398132,1
positive,0.9480117559432983,1
positive,0.9186496734619141,1
positive,0.9431920051574707,1
neutral,0.9262282848358154,0
neutral,0.8453511595726013,0
neutral,0.8717527985572815,0
negative,0.9597272276878357,-1
negative,0.6957746148109436,-1
positive,0.9102162718772888,1
negative,0.9319140911102295,-1
neutral,0.951700747013092,0
positive,0.9430217146873474,1
neutral,0.8541222810745239,0
neutral,0.8939053416252136,0
negative,0.9422648549079895,-1
neutral,0.9214942455291748,0
negative,0.9613203406333923,-1
negative,0.9354117512702942,-1
positive,0.7421587109565735,1
positive,0.9555935263633728,1
neutral,0.9482989311218262,0
positive,0.8031880855560303,1
neutral,0.9403056502342224,0
positive,0.9509569406509399,1
neutral,0.8077794909477234,0
positive,0.9324904084205627,1
negative,0.942122220993042,-1
neutral,0.8304361701011658,0
negative,0.9353616833686829,-1
neutral,0.8989282846450806,0
negative,0.8817093372344971,-1
neutral,0.9132044315338135,0
positive,0.9021621942520142,1
positive,0.907145619392395,1
neutral,0.7537925243377686,0
negative,0.7174556255340576,-1
neutral,0.7307038307189941,0
neutral,0.8559935688972473,0
neutral,0.8650464415550232,0
negative,0.80923992395401,-1
neutral,0.7173967361450195,0
positive,0.9247328042984009,1
neutral,0.758185625076294,0
neutral,0.8361364006996155,0
neutral,0.9523048996925354,0
neutral,0.665257453918457,0
positive,0.9491605758666992,1
positive,0.5633922815322876,1
positive,0.9474678039550781,1
neutral,0.4905485510826111,0
negative,0.9428364038467407,-1
neutral,0.8210036158561707,0
negative,0.969351053237915,-1
neutral,0.570205569267273,0
neutral,0.6205856800079346,0
positive,0.9479203820228577,1
negative,0.8952127695083618,-1
neutral,0.825395405292511,0
positive,0.9308195114135742,1
negative,0.5953868627548218,-1
negative,0.8268759250640869,-1
negative,0.9668078422546387,-1
neutral,0.9456673860549927,0
positive,0.9325255155563354,1
neutral,0.866914689540863,0
negative,0.9409355521202087,-1
neutral,0.9513773322105408,0
neutral,0.6047763228416443,0
neutral,0.8609098792076111,0
negative,0.9696735143661499,-1
neutral,0.7989442944526672,0
positive,0.9553794264793396,1
positive,0.5289486050605774,1
positive,0.7745303511619568,1
negative,0.9062367677688599,-1
neutral,0.9235007762908936,0
positive,0.9500826001167297,1
negative,0.8786188960075378,-1
negative,0.9667930603027344,-1
negative,0.9485946893692017,-1
neutral,0.9027055501937866,0
negative,0.9642716646194458,-1
negative,0.9679370522499084,-1
neutral,0.5779284238815308,0
negative,0.9422712922096252,-1
negative,0.7950229644775391,-1
negative,0.7960717082023621,-1
negative,0.941130518913269,-1
neutral,0.881013035774231,0
neutral,0.5867459774017334,0
negative,0.9398236870765686,-1
neutral,0.7892345190048218,0
negative,0.6210228800773621,-1
neutral,0.7748388648033142,0
neutral,0.8363716006278992,0
positive,0.9543834924697876,1
negative,0.9420597553253174,-1
negative,0.9240095019340515,-1
positive,0.8366631269454956,1
positive,0.8054565787315369,1
negative,0.8131154775619507,-1
positive,0.5823966264724731,1
negative,0.9568588137626648,-1
negative,0.9643766283988953,-1
neutral,0.8914735913276672,0
negative,0.8493788242340088,-1
positive,0.955615758895874,1
neutral,0.8709650039672852,0
neutral,0.8858574628829956,0
neutral,0.9399001598358154,0
positive,0.8003419637680054,1
neutral,0.8944675326347351,0
neutral,0.8905069828033447,0
positive,0.9365609884262085,1
neutral,0.9321223497390747,0
positive,0.7912638783454895,1
neutral,0.8880959749221802,0
positive,0.7696408629417419,1
neutral,0.8138887286186218,0
positive,0.8975091576576233,1
neutral,0.9481467604637146,0
neutral,0.8314607739448547,0
neutral,0.821535050868988,0
positive,0.8628411293029785,1
positive,0.5743438601493835,1
neutral,0.8382768630981445,0
positive,0.6738372445106506,1
neutral,0.933610200881958,0
neutral,0.8611649870872498,0
neutral,0.8237298727035522,0
neutral,0.8517177104949951,0
neutral,0.8130735158920288,0
negative,0.9496300220489502,-1
negative,0.9738994836807251,-1
negative,0.9320039749145508,-1
neutral,0.763779878616333,0
negative,0.8912585973739624,-1
positive,0.8215183019638062,1
positive,0.9006452560424805,1
positive,0.5516370534896851,1
neutral,0.6451525688171387,0
positive,0.936295211315155,1
negative,0.936875581741333,-1
neutral,0.8339160084724426,0
positive,0.7395952343940735,1
positive,0.7624276280403137,1
positive,0.693144679069519,1
neutral,0.9312258362770081,0
neutral,0.8311951756477356,0
positive,0.9556076526641846,1
neutral,0.8992002010345459,0
negative,0.8680646419525146,-1
negative,0.9628644585609436,-1
neutral,0.8267759084701538,0
neutral,0.9374815225601196,0
neutral,0.9071521162986755,0
neutral,0.8841488361358643,0
neutral,0.9542233347892761,0
positive,0.9251145720481873,1
neutral,0.5992640256881714,0
positive,0.9228962063789368,1
neutral,0.8650625944137573,0
neutral,0.8269341588020325,0
negative,0.5713623762130737,-1
negative,0.9654680490493774,-1
negative,0.9158312082290649,-1
positive,0.7433631420135498,1
positive,0.4521723687648773,1
positive,0.9453647136688232,1
neutral,0.8803360462188721,0
positive,0.4913073480129242,1
negative,0.927821934223175,-1
negative,0.9393492937088013,-1
positive,0.9450628161430359,1
negative,0.9101846814155579,-1
neutral,0.44384244084358215,0
positive,0.611944854259491,1
positive,0.8129083514213562,1
neutral,0.8764450550079346,0
positive,0.8309831023216248,1
neutral,0.652649998664856,0
neutral,0.9307925701141357,0
positive,0.7430011630058289,1
neutral,0.8609539866447449,0
neutral,0.9306140542030334,0
neutral,0.9538954496383667,0
neutral,0.9305763840675354,0
negative,0.9522881507873535,-1
positive,0.9181695580482483,1
neutral,0.7229154706001282,0
negative,0.8097216486930847,-1
positive,0.9265203475952148,1
neutral,0.9523147344589233,0
neutral,0.9115058779716492,0
neutral,0.825976550579071,0
neutral,0.8009829521179199,0
neutral,0.923301637172699,0
negative,0.8879173398017883,-1
negative,0.516390323638916,-1
positive,0.7154507040977478,1
neutral,0.9223555326461792,0
positive,0.7838220596313477,1
positive,0.7979768514633179,1
positive,0.9344003200531006,1
neutral,0.6881065368652344,0
negative,0.7758314609527588,-1
neutral,0.9009014964103699,0
positive,0.7052245736122131,1
neutral,0.5990384221076965,0
negative,0.9043885469436646,-1
neutral,0.656073272228241,0
neutral,0.8053707480430603,0
neutral,0.9297783374786377,0
positive,0.741520345211029,1
neutral,0.897090494632721,0
neutral,0.8922831416130066,0
neutral,0.9099162220954895,0
neutral,0.7765998840332031,0
negative,0.670356273651123,-1
positive,0.7831658720970154,1
negative,0.8140289187431335,-1
neutral,0.8497657775878906,0
positive,0.8590674996376038,1
positive,0.9225065112113953,1
negative,0.8864914774894714,-1
neutral,0.8114392161369324,0
positive,0.695987343788147,1
neutral,0.9447623491287231,0
positive,0.9014005064964294,1
neutral,0.9002304077148438,0
positive,0.9489666223526001,1
neutral,0.7139020562171936,0
negative,0.902498185634613,-1
negative,0.4570775330066681,-1
